name,0,1,y_pred,y,y_obs
gina_roberts,0.9333333333333333,0.06666666666666667,0,0,
jordan_green,0.5333333333333333,0.4666666666666667,0,0,0.0
jake_garcia,0.8,0.2,0,0,
jose_kennedy,0.6,0.4,0,1,1.0
gina_holloway,0.6666666666666666,0.3333333333333333,0,1,
marc_key,0.6,0.4,0,1,
carlos_terry,0.7333333333333333,0.26666666666666666,0,0,
alexa_pruitt,0.6,0.4,0,0,
colleen_mcmillan,0.8,0.2,0,1,1.0
jonathan_cox,0.5333333333333333,0.4666666666666667,0,0,
amanda_perry,0.7333333333333333,0.26666666666666666,0,0,
robert_snyder,0.8,0.2,0,0,0.0
adrian_pineda,0.9333333333333333,0.06666666666666667,0,0,
jennifer_aguilar,0.6666666666666666,0.3333333333333333,0,0,
matthew_smith,0.6666666666666666,0.3333333333333333,0,0,
amanda_curtis,0.9333333333333333,0.06666666666666667,0,0,
joshua_smith,1.0,0.0,0,0,
benjamin_cole,0.8,0.2,0,0,
mary_clark_dds,0.6,0.4,0,1,
andrew_james,0.8,0.2,0,0,0.0
michael_walker,0.9333333333333333,0.06666666666666667,0,0,
kenneth_allen,0.8,0.2,0,0,
hannah_mitchell,0.9333333333333333,0.06666666666666667,0,0,
megan_james,0.8666666666666667,0.13333333333333333,0,0,
john_larson,0.7333333333333333,0.26666666666666666,0,0,0.0
thomas_harris,0.9333333333333333,0.06666666666666667,0,0,
stephanie_davis,0.9333333333333333,0.06666666666666667,0,0,
cody_berry,0.6666666666666666,0.3333333333333333,0,0,
christopher_powell,1.0,0.0,0,0,
tammy_brown_md,0.8666666666666667,0.13333333333333333,0,0,
eduardo_shields,0.8666666666666667,0.13333333333333333,0,0,
misty_ramsey,0.6666666666666666,0.3333333333333333,0,0,
donald_williams,0.8666666666666667,0.13333333333333333,0,0,
pamela_kelley,0.6666666666666666,0.3333333333333333,0,0,
michael_dickerson,0.8,0.2,0,0,
chris_martin,0.5333333333333333,0.4666666666666667,0,0,
matthew_bryant,0.6666666666666666,0.3333333333333333,0,0,
james_turner,0.8666666666666667,0.13333333333333333,0,0,
anthony_randall,0.8666666666666667,0.13333333333333333,0,0,
kelsey_brewer,0.6,0.4,0,0,
brandy_sims,0.6666666666666666,0.3333333333333333,0,0,
scott_sanders,0.6666666666666666,0.3333333333333333,0,1,1.0
frank_martin,0.6,0.4,0,1,1.0
eugene_ibarra,0.9333333333333333,0.06666666666666667,0,0,
laura_perry,1.0,0.0,0,0,
kevin_may,0.8666666666666667,0.13333333333333333,0,0,
